time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,pos_filt1,pos_filt2,vel_filt1,vel_filt2,pos_des1,pos_des2,vel_des1,vel_des2,tau_con1,tau_con2,tau_fric1,tau_fric2,tau_meas1,tau_meas2,tau_des1,tau_des2
0.000000000000000000e+00,1.907377737087045944e-04,1.907377737087045944e-04,1.648351648351820131e-02,1.648351648351820131e-02,1.907377737087045944e-04,1.907377737087045944e-04,1.648351648351820131e-02,1.648351648351820131e-02,0.000000000000000000e+00,0.000000000000000000e+00,-3.141592653589793116e-01,-3.141592653589793116e-01,-3.814755983162498865e-03,-3.814755983162498865e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,-2.930402930402919992e-03,0.000000000000000000e+00,0.000000000000000000e+00
3.401517868041992188e-03,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,-6.283185307179586180e-04,-6.283185307179586180e-04,-3.141592653589793116e-01,-3.141592653589793116e-01,-2.518712282677526559e-02,-2.518712282677526559e-02,0.000000000000000000e+00,0.000000000000000000e+00,8.791208791208759976e-03,8.791208791208759976e-03,0.000000000000000000e+00,0.000000000000000000e+00
6.545782089233398438e-03,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,-1.256637061435917236e-03,-1.256637061435917236e-03,-3.141592653589793116e-01,-3.141592653589793116e-01,-5.388429814967565790e-01,-5.388429814967565790e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.465201465201459996e-02,2.930402930402919992e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.113073348999023438e-03,-1.907377737087045944e-04,-1.907377737087045944e-04,-1.485906774178147316e-01,-1.485906774178147316e-01,-1.907377737087045944e-04,-1.907377737087045944e-04,-1.485906774178147316e-01,-1.485906774178147316e-01,-1.884955592153875854e-03,-1.884955592153875854e-03,-3.141592653589793116e-01,-3.141592653589793116e-01,-2.659757640693083403e-01,-2.659757640693083403e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.465201465201459996e-02,-2.930402930402919992e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.161432266235351562e-02,1.907377737087045944e-04,-1.907377737087045944e-04,1.525140038542587839e-01,0.000000000000000000e+00,1.907377737087045944e-04,-1.907377737087045944e-04,1.525140038542587839e-01,0.000000000000000000e+00,-2.513274122871834472e-03,-2.513274122871834472e-03,-3.141592653589792006e-01,-3.141592653589792006e-01,-6.604227911556126429e-01,-4.620555064985598648e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.435897435897430796e-01,-1.494505494505489196e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.361441612243652344e-02,-1.907377737087045944e-04,-1.907377737087045944e-04,-1.907288609411168234e-01,0.000000000000000000e+00,-1.907377737087045944e-04,-1.907377737087045944e-04,-1.907288609411168234e-01,0.000000000000000000e+00,-3.141592653589792873e-03,-3.141592653589792873e-03,-3.141592653589794226e-01,-3.141592653589794226e-01,-2.051633140916120368e-01,-3.959010878003166312e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.435897435897430796e-01,-1.611721611721605996e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.561450958251953125e-02,-5.722133211261137831e-04,-1.907377737087045944e-04,-1.907288609411168234e-01,0.000000000000000000e+00,-5.722133211261137831e-04,-1.907377737087045944e-04,-1.907288609411168234e-01,0.000000000000000000e+00,-3.769911184307751708e-03,-3.769911184307751708e-03,-3.141592653589794226e-01,-3.141592653589794226e-01,-2.101007612021632553e-01,-4.084680458592160335e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.373626373626365194e-01,-2.139194139194131594e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.761460304260253906e-02,-9.536888685435229718e-04,-1.907377737087045944e-04,-1.907288609411168234e-01,0.000000000000000000e+00,-9.536888685435229718e-04,-1.907377737087045944e-04,-1.907288609411168234e-01,0.000000000000000000e+00,-4.398229715025710543e-03,-4.398229715025710543e-03,-3.141592653589792006e-01,-3.141592653589792006e-01,-2.150382083100854658e-01,-4.210350039154864277e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.846153846153839595e-01,-2.432234432234423593e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.961469650268554688e-02,-1.716639963378341349e-03,-5.722133211261137831e-04,-3.814577218822336468e-01,-1.907288609411168234e-01,-1.716639963378341349e-03,-5.722133211261137831e-04,-3.814577218822336468e-01,-1.907288609411168234e-01,-5.026548245743668944e-03,-5.026548245743668944e-03,-3.141592653589792006e-01,-3.141592653589792006e-01,-2.160837075756205650e-02,-2.352346773113112022e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.670329670329664395e-01,-2.725274725274733356e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.161478996276855469e-02,-2.098115510795750538e-03,-5.722133211261137831e-04,-1.907288609411168234e-01,0.000000000000000000e+00,-2.098115510795750538e-03,-5.722133211261137831e-04,-1.907288609411168234e-01,0.000000000000000000e+00,-5.654866776461627345e-03,-5.654866776461627345e-03,-3.141592653589792006e-01,-3.141592653589792006e-01,-2.172835915668613893e-01,-4.385394090689587188e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.904761904761897995e-01,-3.076923076923083755e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.361631393432617188e-02,-2.098115510795750538e-03,-9.536888685435229718e-04,0.000000000000000000e+00,-1.905925448999438998e-01,-2.098115510795750538e-03,-9.536888685435229718e-04,0.000000000000000000e+00,-1.905925448999438998e-01,-6.283185307179585746e-03,-6.283185307179585746e-03,-3.141592653589796447e-01,-3.141592653589796447e-01,-4.208220157054931576e-01,-2.529727748418331146e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.846153846153839595e-01,-2.783882783882791756e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.561640739440917969e-02,-2.098115510795750538e-03,-1.335164415960932160e-03,0.000000000000000000e+00,-1.907288609411168234e-01,-2.098115510795750538e-03,-1.335164415960932160e-03,0.000000000000000000e+00,-1.907288609411168234e-01,-6.911503837897545015e-03,-6.911503837897545015e-03,-3.141592653589792006e-01,-3.141592653589792006e-01,-4.331642695283832722e-01,-2.576855177163750454e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.197802197802189994e-01,-3.428571428571434154e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.761650085449218750e-02,-2.479591058213159727e-03,-1.335164415960932160e-03,-1.907288609411168234e-01,0.000000000000000000e+00,-2.479591058213159727e-03,-1.335164415960932160e-03,-1.907288609411168234e-01,0.000000000000000000e+00,-7.539822368615503416e-03,-7.539822368615503416e-03,-3.141592653589796447e-01,-3.141592653589796447e-01,-2.473639429054586003e-01,-4.609902494592077460e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.842490842490850156e-01,-2.959706959706966956e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.961659431457519531e-02,-2.098115510795750538e-03,-1.335164415960932160e-03,1.907288609411168234e-01,0.000000000000000000e+00,-2.098115510795750538e-03,-1.335164415960932160e-03,1.907288609411168234e-01,0.000000000000000000e+00,-8.168140899333462684e-03,-8.168140899333462684e-03,-3.141592653589792006e-01,-3.141592653589792006e-01,-6.490359592992511750e-01,-4.735572074872429482e-01,0.000000000000000000e+00,0.000000000000000000e+00,-3.194139194139200555e-01,-2.959706959706966956e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.161668777465820312e-02,-2.098115510795750538e-03,-1.716639963378341349e-03,0.000000000000000000e+00,-1.907288609411168234e-01,-2.098115510795750538e-03,-1.716639963378341349e-03,0.000000000000000000e+00,-1.907288609411168234e-01,-8.796459430051421086e-03,-8.796459430051421086e-03,-3.141592653589792006e-01,-3.141592653589792006e-01,-4.708651436119470901e-01,-2.877568808515906795e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.842490842490850156e-01,-3.487179487179492554e-01,0.000000000000000000e+00,0.000000000000000000e+00
