time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,pos_filt1,pos_filt2,vel_filt1,vel_filt2,pos_des1,pos_des2,vel_des1,vel_des2,tau_con1,tau_con2,tau_fric1,tau_fric2,tau_meas1,tau_meas2,tau_des1,tau_des2
0.000000000000000000e+00,-1.907377737087045944e-04,-1.907377737087045944e-04,5.494505494507251342e-03,5.494505494507251342e-03,-1.907377737087045944e-04,-1.907377737087045944e-04,5.494505494507251342e-03,5.494505494507251342e-03,0.000000000000000000e+00,0.000000000000000000e+00,3.141592653589793116e-01,3.141592653589793116e-01,3.814754480968574057e-03,3.814754480968574057e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,2.930402930402919992e-03,0.000000000000000000e+00,0.000000000000000000e+00
3.518104553222656250e-03,-1.907377737087045944e-04,-5.722133211261137831e-04,0.000000000000000000e+00,-1.084321235046780268e-01,-1.907377737087045944e-04,-5.722133211261137831e-04,0.000000000000000000e+00,-1.084321235046780268e-01,6.283185307179586180e-04,6.283185307179586180e-04,3.141592653589793116e-01,3.141592653589793116e-01,2.591965773169668807e-02,3.354916868004487185e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,8.791208791208759976e-03,0.000000000000000000e+00,0.000000000000000000e+00
6.527662277221679688e-03,-1.907377737087045944e-04,-1.907377737087045944e-04,0.000000000000000000e+00,1.267546870343839727e-01,-1.907377737087045944e-04,-1.907377737087045944e-04,0.000000000000000000e+00,1.267546870343839727e-01,1.256637061435917236e-03,1.256637061435917236e-03,3.141592653589793116e-01,3.141592653589793116e-01,5.175694962035759517e-01,3.268317224948713573e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,8.791208791208759976e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.477853775024414062e-03,-1.907377737087045944e-04,-1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,-1.907377737087045944e-04,-1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.884955592153875854e-03,1.884955592153875854e-03,3.141592653589793116e-01,3.141592653589793116e-01,5.267808700390030907e-01,5.267808700390030907e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.465201465201459996e-02,2.051282051282043994e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.235938072204589844e-02,-1.907377737087045944e-04,-1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,-1.907377737087045944e-04,-1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.513274122871834472e-03,2.513274122871834472e-03,3.141592653589792006e-01,3.141592653589792006e-01,5.341002344354173204e-01,5.341002344354173204e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.139194139194131594e-01,1.318681318681313996e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.459193229675292969e-02,1.907377737087045944e-04,-1.907377737087045944e-04,1.708697580558553031e-01,0.000000000000000000e+00,1.907377737087045944e-04,-1.907377737087045944e-04,1.708697580558553031e-01,0.000000000000000000e+00,3.141592653589792873e-03,3.141592653589792873e-03,3.141592653589794226e-01,3.141592653589794226e-01,2.478196702672175178e-01,4.461869549242702959e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.901098901098908556e-01,2.490842490842481993e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.659202575683593750e-02,1.907377737087045944e-04,-1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.907377737087045944e-04,-1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,3.769911184307751708e-03,3.769911184307751708e-03,3.141592653589794226e-01,3.141592653589794226e-01,4.146099658564228463e-01,4.222394768047710301e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.194139194139200555e-01,2.842490842490850156e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.859235763549804688e-02,1.907377737087045944e-04,-1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.907377737087045944e-04,-1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,4.398229715025710543e-03,4.398229715025710543e-03,3.141592653589792006e-01,3.141592653589792006e-01,4.272158720938268317e-01,4.348453830421750155e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.959706959706966956e-01,3.135531135531142155e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.059245109558105469e-02,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,1.907288609411168234e-01,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,1.907288609411168234e-01,5.026548245743668944e-03,5.026548245743668944e-03,3.141592653589792006e-01,3.141592653589792006e-01,4.397453789005822955e-01,2.490076051918777011e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.135531135531142155e-01,3.252747252747258955e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.259254455566406250e-02,5.722133211261137831e-04,1.907377737087045944e-04,1.907288609411168234e-01,0.000000000000000000e+00,5.722133211261137831e-04,1.907377737087045944e-04,1.907288609411168234e-01,0.000000000000000000e+00,5.654866776461627345e-03,5.654866776461627345e-03,3.141592653589792006e-01,3.141592653589792006e-01,2.539450517584018741e-01,4.523123364154546522e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.428571428571434154e-01,3.487179487179492554e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.459263801574707031e-02,9.536888685435229718e-04,5.722133211261137831e-04,1.907288609411168234e-01,1.907288609411168234e-01,9.536888685435229718e-04,5.722133211261137831e-04,1.907288609411168234e-01,1.907288609411168234e-01,6.283185307179585746e-03,6.283185307179585746e-03,3.141592653589796447e-01,3.141592653589796447e-01,2.588824983299442550e-01,2.665120092782924388e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.604395604395609354e-01,3.252747252747258955e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.659273147583007812e-02,9.536888685435229718e-04,5.722133211261137831e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.536888685435229718e-04,5.722133211261137831e-04,0.000000000000000000e+00,0.000000000000000000e+00,6.911503837897545015e-03,6.911503837897545015e-03,3.141592653589792006e-01,3.141592653589792006e-01,4.621872295647921902e-01,4.698167405131403740e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.311355311355317355e-01,3.604395604395609354e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.859282493591308594e-02,9.536888685435229718e-04,5.722133211261137831e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.536888685435229718e-04,5.722133211261137831e-04,0.000000000000000000e+00,0.000000000000000000e+00,7.539822368615503416e-03,7.539822368615503416e-03,3.141592653589796447e-01,3.141592653589796447e-01,4.747541870979787859e-01,4.823836980463269697e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.076923076923083755e-01,3.428571428571434154e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.059291839599609375e-02,1.335164415960932160e-03,5.722133211261137831e-04,1.907288609411168234e-01,0.000000000000000000e+00,1.335164415960932160e-03,5.722133211261137831e-04,1.907288609411168234e-01,0.000000000000000000e+00,8.168140899333462684e-03,8.168140899333462684e-03,3.141592653589792006e-01,3.141592653589792006e-01,2.889538599817154108e-01,4.949506555871163727e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.545787545787550954e-01,3.663003663003667754e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.259325027465820312e-02,1.335164415960932160e-03,5.722133211261137831e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.335164415960932160e-03,5.722133211261137831e-04,0.000000000000000000e+00,0.000000000000000000e+00,8.796459430051421086e-03,8.796459430051421086e-03,3.141592653589792006e-01,3.141592653589792006e-01,4.922975399704654365e-01,5.075565618671618040e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.780219780219784553e-01,4.014652014652018153e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.459334373474121094e-02,1.716639963378341349e-03,9.536888685435229718e-04,1.907288609411168234e-01,1.907288609411168234e-01,1.716639963378341349e-03,9.536888685435229718e-04,1.907288609411168234e-01,1.907288609411168234e-01,9.424777960769379487e-03,9.424777960769379487e-03,3.141592653589792006e-01,3.141592653589792006e-01,3.064597621692222162e-01,3.217187840659185838e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.428571428571434154e-01,4.190476190476193352e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.659343719482421875e-02,2.098115510795750538e-03,9.536888685435229718e-04,1.907288609411168234e-01,0.000000000000000000e+00,2.098115510795750538e-03,9.536888685435229718e-04,1.907288609411168234e-01,0.000000000000000000e+00,1.005309649148733789e-02,1.005309649148733789e-02,3.141592653589792006e-01,3.141592653589792006e-01,3.113972087896321739e-01,5.250235153433813196e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.663003663003667754e-01,4.483516483516485351e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.859353065490722656e-02,2.479591058213159727e-03,9.536888685435229718e-04,1.907288609411168234e-01,0.000000000000000000e+00,2.479591058213159727e-03,9.536888685435229718e-04,1.907288609411168234e-01,0.000000000000000000e+00,1.068141502220529629e-02,1.068141502220529629e-02,3.141592653589792006e-01,3.141592653589792006e-01,3.163346554207890904e-01,5.375904729228864198e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.311355311355317355e-01,3.956043956043959753e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.059362411499023438e-02,3.242542153047978104e-03,9.536888685435229718e-04,3.814577218822336468e-01,0.000000000000000000e+00,3.242542153047978104e-03,9.536888685435229718e-04,3.814577218822336468e-01,0.000000000000000000e+00,1.130973355292325469e-02,1.130973355292325469e-02,3.141592653589792006e-01,3.141592653589792006e-01,1.229048174064217847e-01,5.501574305139200760e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.194139194139200555e-01,4.483516483516485351e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.259371757507324219e-02,3.242542153047978104e-03,9.536888685435229718e-04,0.000000000000000000e+00,0.000000000000000000e+00,3.242542153047978104e-03,9.536888685435229718e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.193805208364121309e-02,1.193805208364121309e-02,3.141592653589792006e-01,3.141592653589792006e-01,5.169473224276366352e-01,5.627243881177257379e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.428571428571434154e-01,4.600732600732602151e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.459381103515625000e-02,3.624017700465387293e-03,1.335164415960932160e-03,1.907288609411168234e-01,1.907288609411168234e-01,3.624017700465387293e-03,1.335164415960932160e-03,1.907288609411168234e-01,1.907288609411168234e-01,1.256637061435917149e-02,1.256637061435917149e-02,3.141592653589800888e-01,3.141592653589800888e-01,3.311469953872681060e-01,3.769240610773572087e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.135531135531142155e-01,4.776556776556777351e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.659390449523925781e-02,3.624017700465387293e-03,1.716639963378341349e-03,0.000000000000000000e+00,1.907288609411168234e-01,3.624017700465387293e-03,1.716639963378341349e-03,0.000000000000000000e+00,1.907288609411168234e-01,1.319468914507713163e-02,1.319468914507713163e-02,3.141592653589792006e-01,3.141592653589792006e-01,5.344517267270010308e-01,3.818615077600373553e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.073260073260076553e-01,4.717948717948718951e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.859399795532226562e-02,3.624017700465387293e-03,2.098115510795750538e-03,0.000000000000000000e+00,1.907288609411168234e-01,3.624017700465387293e-03,2.098115510795750538e-03,0.000000000000000000e+00,1.907288609411168234e-01,1.382300767579509003e-02,1.382300767579509003e-02,3.141592653589792006e-01,3.141592653589792006e-01,5.470186843727109505e-01,3.867989544573990912e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.663003663003667754e-01,4.190476190476193352e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.059409141540527344e-02,3.624017700465387293e-03,2.479591058213159727e-03,0.000000000000000000e+00,1.907288609411168234e-01,3.624017700465387293e-03,2.479591058213159727e-03,0.000000000000000000e+00,1.907288609411168234e-01,1.445132620651304843e-02,1.445132620651304843e-02,3.141592653589792006e-01,3.141592653589792006e-01,5.595856420336531301e-01,3.917364011699930870e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.190476190476193352e-01,3.897435897435901353e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.259442329406738281e-02,3.624017700465387293e-03,2.861066605630568915e-03,0.000000000000000000e+00,1.907061280613860654e-01,3.624017700465387293e-03,2.861066605630568915e-03,0.000000000000000000e+00,1.907061280613860654e-01,1.507964473723100683e-02,1.507964473723100683e-02,3.141592653589800888e-01,3.141592653589800888e-01,5.721915484421646880e-01,3.967127966301564612e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.483516483516485351e-01,3.780219780219784553e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.459451675415039062e-02,4.005493247882796481e-03,3.624017700465387293e-03,1.907288609411168234e-01,3.814577218822336468e-01,4.005493247882796481e-03,3.624017700465387293e-03,1.907288609411168234e-01,3.814577218822336468e-01,1.570796326794896697e-02,1.570796326794896697e-02,3.141592653589792006e-01,3.141592653589792006e-01,3.863537707772568552e-01,2.032455080169004447e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.717948717948718951e-01,3.780219780219784553e-01,0.000000000000000000e+00,0.000000000000000000e+00
