time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,tau_con1,tau_con2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.458880599964222480e-01
2.000000000000000042e-03,-3.062584525167994030e-05,6.348421088631054786e-05,-3.062492588985492314e-02,6.348237548243268469e-02,0.000000000000000000e+00,6.718363616548593820e-01
4.000000000000000083e-03,-1.513526738465549408e-04,3.137392890083750109e-04,-9.009827689439617315e-02,1.867654640217138451e-01,0.000000000000000000e+00,9.789943923596772235e-01
6.000000000000000125e-03,-4.181938715982258027e-04,8.668785202513089013e-04,-1.767348915556817002e-01,3.663577366968396865e-01,0.000000000000000000e+00,1.268445372733070231e+00
8.000000000000000167e-03,-8.838783477823082112e-04,1.832210844909727600e-03,-2.889355053825201081e-01,5.989464756247951938e-01,0.000000000000000000e+00,1.541210081201279225e+00
1.000000000000000021e-02,-1.598016957018781343e-03,3.312587312312943386e-03,-4.251813098747081465e-01,8.813864659980080729e-01,0.000000000000000000e+00,1.798250447028083787e+00
1.200000000000000025e-02,-2.607257857058135377e-03,5.404724558541912013e-03,-5.840282969797528922e-01,1.210688260933306726e+00,0.000000000000000000e+00,2.040472947275056015e+00
1.400000000000000029e-02,-3.955430154341799988e-03,8.199504005089199715e-03,-7.641011705186508962e-01,1.584005572455336797e+00,0.000000000000000000e+00,2.366557026033281552e+00
1.600000000000000033e-02,-5.692335736265854464e-03,1.180019792398443942e-02,-9.727471346377971617e-01,2.016573764488403420e+00,0.000000000000000000e+00,2.665786678593348835e+00
1.800000000000000211e-02,-7.872647549602469416e-03,1.632018760002220889e-02,-1.207489046596636584e+00,2.503264455164152746e+00,0.000000000000000000e+00,3.226167911522164200e+00
2.000000000000000389e-02,-1.057155132290039587e-02,2.191538955976072081e-02,-1.491313381150362716e+00,3.091734249891637365e+00,0.000000000000000000e+00,3.892164995912835046e+00
2.200000000000000566e-02,-1.389637610920119865e-02,2.880836863774578413e-02,-1.833372107669318130e+00,3.800964929990059193e+00,0.000000000000000000e+00,4.925004147871439031e+00
2.400000000000000744e-02,-1.799576707154910971e-02,3.730735933961615292e-02,-2.265817146211830835e+00,4.697619481076078074e+00,0.000000000000000000e+00,6.000000000000000000e+00
2.600000000000000921e-02,-2.305374369710313023e-02,4.779396112331323748e-02,-2.791856822026209439e+00,5.788371175949606595e+00,0.000000000000000000e+00,5.999999999999971578e+00
2.800000000000001099e-02,-2.916175972990437196e-02,6.045794511122826870e-02,-3.315737594022260648e+00,6.874760270168496668e+00,0.000000000000000000e+00,5.999999909780603602e+00
3.000000000000001277e-02,-3.631472536528786155e-02,7.528901877139729248e-02,-3.836657382795117144e+00,7.955158053056038625e+00,0.000000000000000000e+00,5.999999759917939990e+00
3.200000000000001454e-02,-4.450575862968055019e-02,9.227324856842911149e-02,-4.353622602828345123e+00,9.027545117926463192e+00,0.000000000000000000e+00,5.999999948287396023e+00
3.400000000000001632e-02,-5.372578360823837551e-02,1.113922404345417255e-01,-4.865430588733028472e+00,1.008947565886661835e+01,0.000000000000000000e+00,5.999999932085898102e+00
3.600000000000001810e-02,-6.396310127926997657e-02,1.326222647382938324e-01,-5.370660159557665736e+00,1.113805845859918975e+01,0.000000000000000000e+00,5.999999854894141116e+00
3.800000000000001987e-02,-7.520295183830341679e-02,1.559333644839941968e-01,-5.867672939633438389e+00,1.216995994214592969e+01,0.000000000000000000e+00,5.999999999190836597e+00
4.000000000000002165e-02,-8.742709215771751752e-02,1.812884952410296902e-01,-6.354627528880826937e+00,1.318143358175078816e+01,0.000000000000000000e+00,6.000000000000000000e+00
4.200000000000002343e-02,-1.006134160172452163e-01,2.086427534721062294e-01,-6.829508351174991887e+00,1.416837939807492397e+01,0.000000000000000000e+00,5.999999999999999112e+00
4.400000000000002520e-02,-1.147356477879208636e-01,2.379427561701721039e-01,-7.290170322709843553e+00,1.512643589599670157e+01,0.000000000000000000e+00,6.000000000000000000e+00
4.600000000000002698e-02,-1.297631409548616888e-01,2.691262361376783874e-01,-7.734398830984255291e+00,1.605110337647068519e+01,0.000000000000000000e+00,5.999999999979198861e+00
4.800000000000002875e-02,-1.456608104309474183e-01,3.021219122258702594e-01,-8.159983053255944085e+00,1.693789457032469770e+01,0.000000000000000000e+00,5.999999998450427086e+00
5.000000000000003053e-02,-1.623892217445489783e-01,3.368496817886190153e-01,-8.564798713355099125e+00,1.778250457830656828e+01,0.000000000000000000e+00,6.000000000000000000e+00
5.200000000000003231e-02,-1.799048506394018976e-01,3.732211629997364555e-01,-8.946894686794850671e+00,1.858098863840127635e+01,0.000000000000000000e+00,5.999999999799417338e+00
5.400000000000003408e-02,-1.981605141310929796e-01,4.111405890332990309e-01,-9.304576663801427117e+00,1.932993378260047024e+01,0.000000000000000000e+00,5.999999999281131480e+00
5.600000000000003586e-02,-2.171059599577975230e-01,4.505060271574625186e-01,-9.636480711687442025e+00,2.002660969616619369e+01,0.000000000000000000e+00,5.999999999781879367e+00
5.800000000000003764e-02,-2.366885875062178235e-01,4.912108673707066830e-01,-9.941630211088194002e+00,2.066908539920478205e+01,0.000000000000000000e+00,5.999999988624218794e+00
6.000000000000003941e-02,-2.568542617177096421e-01,5.331455014839583395e-01,-1.021947126464383615e+01,2.125630171106992350e+01,0.000000000000000000e+00,5.999999993181958757e+00
6.200000000000004119e-02,-2.775481739487830612e-01,5.761990981427478342e-01,-1.046988403930748746e+01,2.178809431331746538e+01,0.000000000000000000e+00,5.999999999955016428e+00
6.400000000000004297e-02,-2.987157013254496118e-01,6.202613743429615800e-01,-1.069317015849906483e+01,2.226516767924484697e+01,0.000000000000000000e+00,5.999999999958711250e+00
6.600000000000004474e-02,-3.203032189519599560e-01,6.652242698438984858e-01,-1.089001878305231941e+01,2.268902531628149433e+01,0.000000000000000000e+00,5.999999999965650588e+00
6.800000000000004652e-02,-3.422588266451154215e-01,7.109834459438022503e-01,-1.106145592987865278e+01,2.306186568391736458e+01,0.000000000000000000e+00,6.000000000000000000e+00
7.000000000000004829e-02,-3.645329622042021711e-01,7.574395513497076404e-01,-1.120878267056619215e+01,2.338645538757308273e+01,0.000000000000000000e+00,5.999999995540185260e+00
7.200000000000005007e-02,-3.870788848698947238e-01,8.044992218031735698e-01,-1.133350807135770921e+01,2.366599169097197830e+01,0.000000000000000000e+00,5.999999997725450562e+00
7.400000000000005185e-02,-4.098530239204923875e-01,8.520758033220710015e-01,-1.143728220123597872e+01,2.390396528379773500e+01,0.000000000000000000e+00,5.999999999317634725e+00
7.600000000000005362e-02,-4.328151970209808685e-01,9.000898087599008557e-01,-1.152183348617675662e+01,2.410403208140621345e+01,0.000000000000000000e+00,5.999999998713270166e+00
7.800000000000005540e-02,-4.559287102378822842e-01,9.484691323482292713e-01,-1.158891341023039701e+01,2.426990020575129492e+01,0.000000000000000000e+00,5.999999986139190611e+00
8.000000000000005718e-02,-4.791603563253946096e-01,9.971490564952870672e-01,-1.164025027113434518e+01,2.440523563861379586e+01,0.000000000000000000e+00,5.999999986911897842e+00
8.200000000000005895e-02,-5.024803301508770081e-01,1.046072089727309029e+00,-1.167751258245085744e+01,2.451358774607390956e+01,0.000000000000000000e+00,5.999999990054351251e+00
8.400000000000006073e-02,-5.258620803909915820e-01,1.095187675165795627e+00,-1.170228183972287184e+01,2.459833407697478336e+01,0.000000000000000000e+00,5.999999996260296342e+00
8.600000000000006251e-02,-5.492821154456370980e-01,1.144451806468790300e+00,-1.171603379421361169e+01,2.466264266047961584e+01,0.000000000000000000e+00,5.999999996688266002e+00
8.800000000000006428e-02,-5.727197794225887817e-01,1.193826583831587351e+00,-1.172012703527982325e+01,2.470944932465566879e+01,0.000000000000000000e+00,5.999999999951977081e+00
9.000000000000006606e-02,-5.961570114974814594e-01,1.243279737377775307e+00,-1.171579756139879080e+01,2.474144730980466989e+01,0.000000000000000000e+00,5.999999998485505692e+00
9.200000000000006783e-02,-6.195780993091568600e-01,1.292784139808657251e+00,-1.170415803522910636e+01,2.476108648089737585e+01,0.000000000000000000e+00,5.999999999992627231e+00
9.400000000000006961e-02,-6.429694345501911767e-01,1.342317325010364826e+00,-1.168620053878836273e+01,2.477057968979153557e+01,0.000000000000000000e+00,5.999999991491703710e+00
9.600000000000007139e-02,-6.663192766982714010e-01,1.391861024731810392e+00,-1.166280180397600397e+01,2.477191416135104873e+01,0.000000000000000000e+00,5.999999999760285085e+00
9.800000000000007316e-02,-6.896175289739500114e-01,1.441400731579769667e+00,-1.163473008394886143e+01,2.476686616402800922e+01,0.000000000000000000e+00,5.999999999999912070e+00
1.000000000000000749e-01,-7.128555291127369742e-01,1.490925293443966959e+00,-1.160265300057766424e+01,2.475701756713803547e+01,0.000000000000000000e+00,5.999999738968652352e+00
1.020000000000000767e-01,-7.360258563812522858e-01,1.540426542013432876e+00,-1.156714587118356263e+01,2.474377322380954780e+01,0.000000000000000000e+00,5.999999759713601222e+00
1.040000000000000785e-01,-7.591221554654103976e-01,1.589898956310281886e+00,-1.152870020525932659e+01,2.472837849626232654e+01,0.000000000000000000e+00,5.999999876821100919e+00
1.060000000000000803e-01,-7.821389772247255845e-01,1.639339360748367280e+00,-1.148773204426963268e+01,2.471193618274187642e+01,0.000000000000000000e+00,5.999999889896412419e+00
1.080000000000000820e-01,-8.050716359337726225e-01,1.688746656314812578e+00,-1.144459009292661200e+01,2.469542266586291746e+01,0.000000000000000000e+00,5.999999942958169186e+00
1.100000000000000838e-01,-8.279160825065736695e-01,1.738121583043786611e+00,-1.139956356647929248e+01,2.467970302970485008e+01,0.000000000000000000e+00,5.999999956653869759e+00
1.120000000000000856e-01,-8.506687930986092105e-01,1.787466511526725643e+00,-1.135288972611907710e+01,2.466554496793066775e+01,0.000000000000000000e+00,5.999999971521477349e+00
1.140000000000000874e-01,-8.733266725385613327e-01,1.836785261061026686e+00,-1.130476118527598217e+01,2.465363151289948718e+01,0.000000000000000000e+00,5.999999985471109909e+00
1.160000000000000892e-01,-8.958869721991814528e-01,1.886082942052833555e+00,-1.125533306035754322e+01,2.464457256698425169e+01,0.000000000000000000e+00,5.462801407999353209e+00
1.180000000000000909e-01,-9.183317735595101228e-01,1.935332550866893486e+00,-1.118942068765544917e+01,2.460589710397103858e+01,0.000000000000000000e+00,5.958377322092689887e+00
1.200000000000000927e-01,-9.406583745002573549e-01,1.984540097313635787e+00,-1.113701603353319136e+01,2.460234672216284579e+01,0.000000000000000000e+00,5.968370926346699967e+00
1.220000000000000945e-01,-9.628794806195409839e-01,2.033745461830909207e+00,-1.108393639492672555e+01,2.460378094197881182e+01,0.000000000000000000e+00,3.778370040067483782e+00
1.240000000000000963e-01,-9.849349740258106500e-01,2.082831203017061927e+00,-1.097190173478521835e+01,2.448362652952936358e+01,0.000000000000000000e+00,4.311783393447269574e+00
1.260000000000000842e-01,-1.006782362332478309e+00,2.131716958106312010e+00,-1.087569627380938897e+01,2.440357495018958645e+01,0.000000000000000000e+00,1.713792772747036341e+00
1.280000000000000859e-01,-1.028372118625158427e+00,2.180305972506387135e+00,-1.071477608214201815e+01,2.418773641424834864e+01,0.000000000000000000e+00,2.742911117279802191e+00
1.300000000000000877e-01,-1.049670020125545999e+00,2.228533438920450749e+00,-1.058360302661257890e+01,2.404160568227008099e+01,0.000000000000000000e+00,-5.258814453069371453e-01
1.320000000000000895e-01,-1.070628101881860639e+00,2.276303006874388579e+00,-1.037551364010166388e+01,2.373069727421520625e+01,0.000000000000000000e+00,1.040982689704786690e+00
1.340000000000000913e-01,-1.091213855974262126e+00,2.323550261082787394e+00,-1.021095371206913249e+01,2.351871336024840531e+01,0.000000000000000000e+00,-3.887705193077190646e+00
1.360000000000000930e-01,-1.111358004006216538e+00,2.370127483489068432e+00,-9.934650051141746374e+00,2.306172628290526561e+01,0.000000000000000000e+00,-1.513667177594009594e+00
1.380000000000000948e-01,-1.131013372897149649e+00,2.415932519754491636e+00,-9.721740104601156673e+00,2.274575389730729924e+01,0.000000000000000000e+00,-5.588687549751294448e+00
1.400000000000000966e-01,-1.150155562804580311e+00,2.460911322493094744e+00,-9.421984973100446581e+00,2.223612687009664057e+01,0.000000000000000000e+00,-3.640976854819077957e+00
1.420000000000000984e-01,-1.168751261127057184e+00,2.504987385497363661e+00,-9.174915560309468532e+00,2.184239633517342583e+01,0.000000000000000000e+00,1.083101804042269301e+00
1.440000000000001001e-01,-1.186965179954593497e+00,2.548527091638292497e+00,-9.039606252574783340e+00,2.169881829599139422e+01,0.000000000000000000e+00,-2.387618079917342762e+00
1.460000000000001019e-01,-1.204835830113888617e+00,2.591616285655431007e+00,-8.832058558130277959e+00,2.139233737368692800e+01,0.000000000000000000e+00,1.524502601621217757e+00
1.480000000000001037e-01,-1.222382457794464861e+00,2.634296552558256010e+00,-8.715178374369910941e+00,2.128923906930415555e+01,0.000000000000000000e+00,-2.162503673173091112e+00
1.500000000000001055e-01,-1.239619863955442325e+00,2.676598372903872480e+00,-8.523238247449885563e+00,2.101429655643866568e+01,0.000000000000000000e+00,3.639720010976209341e+00
1.520000000000001072e-01,-1.256602863328274422e+00,2.718641679820174684e+00,-8.460280134457894619e+00,2.102999276908601090e+01,0.000000000000000000e+00,2.505616591405172233e+00
1.540000000000001090e-01,-1.273439356766406405e+00,2.760667670335280377e+00,-8.376917794711348009e+00,2.099710300214969294e+01,0.000000000000000000e+00,-4.118098994178005512e-01
1.560000000000001108e-01,-1.290052596067535085e+00,2.802494779579265849e+00,-8.237322621623970775e+00,2.083135298329339236e+01,0.000000000000000000e+00,-5.999999997555550024e+00
1.580000000000001126e-01,-1.306276931571931810e+00,2.843732079179421390e+00,-7.988414193209647074e+00,2.040764177149845793e+01,0.000000000000000000e+00,-3.983159997968773958e+00
1.600000000000001144e-01,-1.322053302091174443e+00,2.884227478590749350e+00,-7.789208115991300474e+00,2.008916755520967712e+01,0.000000000000000000e+00,-5.999999995539162967e+00
1.620000000000001161e-01,-1.337397459849438253e+00,2.923998832832989336e+00,-7.556281359625708127e+00,1.968358729607912494e+01,0.000000000000000000e+00,-3.983159996288931026e+00
1.640000000000001179e-01,-1.352324755706376225e+00,2.963062184254547926e+00,-7.372222154523494275e+00,1.938094319564902435e+01,0.000000000000000000e+00,-5.999989161284185357e+00
1.660000000000001197e-01,-1.366850192958685373e+00,3.001432322288918098e+00,-7.154458135320315826e+00,1.899034213157180062e+01,0.000000000000000000e+00,-3.118791767198365150e+00
1.680000000000001215e-01,-1.381005766011348612e+00,3.039163079407289025e+00,-7.002236126214073764e+00,1.874137559410428722e+01,0.000000000000000000e+00,-5.999999983150404503e+00
1.700000000000001232e-01,-1.394805367546508856e+00,3.076266519548403799e+00,-6.798501397068031693e+00,1.836299732698920195e+01,0.000000000000000000e+00,-3.983159986106801220e+00
