time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,tau_con1,tau_con2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.008419995940429414e+00,0.000000000000000000e+00
2.000000000000000042e-03,5.481614774163210476e-05,-8.928817817199464428e-05,5.481471978537601208e-02,-8.928549767701327022e-02,1.847354847222685059e+00,0.000000000000000000e+00
4.000000000000000083e-03,2.648506505742822853e-04,-4.314020542249491844e-04,1.552143076874732408e-01,-2.528180986045774903e-01,3.271712134625140322e+00,0.000000000000000000e+00
6.000000000000000125e-03,7.530668014992537287e-04,-1.226616028186855879e-03,3.329890683505735138e-01,-5.423718715386789402e-01,5.181513640387541919e+00,0.000000000000000000e+00
8.000000000000000167e-03,1.700550583731272195e-03,-2.769856351176385942e-03,6.144696076508227023e-01,-1.000821149427612022e+00,5.378032215330097010e+00,0.000000000000000000e+00
1.000000000000000021e-02,3.221496212481651973e-03,-5.247052725231278122e-03,9.064349109010575445e-01,-1.476297441273167532e+00,5.591367165471873513e+00,0.000000000000000000e+00
1.200000000000000025e-02,5.337687859814596938e-03,-8.693557831001005182e-03,1.209697800908344778e+00,-1.970095462487106985e+00,5.999999999999629630e+00,0.000000000000000000e+00
1.400000000000000029e-02,8.082224059600958549e-03,-1.316308812900847391e-02,1.534758614249970954e+00,-2.499281647449461907e+00,6.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000033e-02,1.147635703479890461e-02,-1.868997996276919663e-02,1.859270827430147488e+00,-3.027409586998016877e+00,5.999999333746941943e+00,0.000000000000000000e+00
1.800000000000000211e-02,1.551884130466957626e-02,-2.527181909641956076e-02,2.183083154945129056e+00,-3.554174626354706934e+00,5.999999927024083135e+00,0.000000000000000000e+00
2.000000000000000389e-02,2.020810984561589169e-02,-3.290553827617050814e-02,2.506024826221309176e+00,-4.079227213190161905e+00,5.999999999999995559e+00,0.000000000000000000e+00
2.200000000000000566e-02,2.554223191846088925e-02,-4.158732013967132712e-02,2.827902425357853744e+00,-4.602165692827495214e+00,6.000000000000000000e+00,0.000000000000000000e+00
2.400000000000000744e-02,3.151886517757152006e-02,-5.131248684054056514e-02,3.148497346840562372e+00,-5.122530257106856055e+00,5.999999989555409030e+00,0.000000000000000000e+00
2.600000000000000921e-02,3.813520291596340928e-02,-6.207537812278548367e-02,3.467563491857494462e+00,-5.639797479450962214e+00,5.999999998605149543e+00,0.000000000000000000e+00
2.800000000000001099e-02,4.538791718961251304e-02,-7.386921949392059872e-02,3.784825469477718585e+00,-6.153375917265840656e+00,5.999999978607323925e+00,0.000000000000000000e+00
3.000000000000001277e-02,5.327309892271458319e-02,-8.668598283713251085e-02,4.099977396511910399e+00,-6.662602991179607415e+00,5.999999931872926240e+00,0.000000000000000000e+00
3.200000000000001454e-02,6.178619632389466959e-02,-1.005162422927187299e-01,4.412682429748768342e+00,-7.166743419938542026e+00,5.999999902932624529e+00,0.000000000000000000e+00
3.400000000000001632e-02,7.092195319811191168e-02,-1.153490287784788432e-01,4.722573150538996956e+00,-7.664989469347800899e+00,5.999991733777805258e+00,0.000000000000000000e+00
3.600000000000001810e-02,8.067434853976802878e-02,-1.311716863215327822e-01,5.029252481441147005e+00,-8.156462557481328091e+00,5.999999942366017081e+00,0.000000000000000000e+00
3.800000000000001987e-02,9.103654123256219033e-02,-1.479697374564898638e-01,5.332297891185572958e+00,-8.640220747478386087e+00,5.999994565842862393e+00,0.000000000000000000e+00
4.000000000000002165e-02,1.020008196178675136e-01,-1.657267584434448660e-01,5.631262073036899629e+00,-9.115261107112647920e+00,5.999954975990622330e+00,0.000000000000000000e+00
4.200000000000002343e-02,1.135585570931091637e-01,-1.844242674248931513e-01,5.925678299089438106e+00,-9.580530294447413553e+00,5.999955976671140334e+00,0.000000000000000000e+00
4.400000000000002520e-02,1.257001842245061840e-01,-2.040416437768250435e-01,6.215071568486250975e+00,-1.003494514139040739e+01,5.999999238944780267e+00,0.000000000000000000e+00
4.600000000000002698e-02,1.384151752660761348e-01,-2.245560764379422314e-01,6.498961858467434460e+00,-1.047740103639753251e+01,5.999957852809306935e+00,0.000000000000000000e+00
4.800000000000002875e-02,1.516920393898814889e-01,-2.459425267467645060e-01,6.776865566440975819e+00,-1.090677801477268183e+01,5.999999934680200653e+00,0.000000000000000000e+00
5.000000000000003053e-02,1.655183381097777018e-01,-2.681737415658430046e-01,7.048320184930314980e+00,-1.132198478923886320e+01,5.999742500419158020e+00,0.000000000000000000e+00
5.200000000000003231e-02,1.798807080314279716e-01,-2.912202839204904303e-01,7.312864982836650540e+00,-1.172193231394644108e+01,5.880766854789577280e+00,0.000000000000000000e+00
5.400000000000003408e-02,1.947587641952246429e-01,-3.150407882958591310e-01,7.563955958739177809e+00,-1.209581965792485647e+01,5.686936468371258435e+00,0.000000000000000000e+00
5.600000000000003586e-02,2.101215158934691407e-01,-3.395763824322277080e-01,7.797531930173503767e+00,-1.243694237980561468e+01,5.489073487596264123e+00,0.000000000000000000e+00
5.800000000000003764e-02,2.259336626991509944e-01,-3.647609670577086072e-01,8.013338065076670347e+00,-1.274476349129828456e+01,5.300082624201906789e+00,0.000000000000000000e+00
6.000000000000003941e-02,2.421601507344849080e-01,-3.905286242254678575e-01,8.211874386260207714e+00,-1.301999832515327959e+01,5.163479375228360091e+00,0.000000000000000000e+00
6.200000000000004119e-02,2.587691863378841495e-01,-4.168184747878586061e-01,8.395893583035805463e+00,-1.326695298113079780e+01,5.037419474115758966e+00,0.000000000000000000e+00
6.400000000000004297e-02,2.757323984569483022e-01,-4.435749614517447426e-01,8.566070685857120282e+00,-1.348665532413504309e+01,4.919908632535682003e+00,0.000000000000000000e+00
6.600000000000004474e-02,2.930227301027712450e-01,-4.707445587858963276e-01,8.723044153590809202e+00,-1.368010831186417953e+01,4.813324261504483559e+00,0.000000000000000000e+00
6.800000000000004652e-02,3.106145754873497755e-01,-4.982760506729591587e-01,8.867625153821007800e+00,-1.384861494791433500e+01,4.717310352187344513e+00,0.000000000000000000e+00
7.000000000000004829e-02,3.284839796908060605e-01,-5.261208956692046135e-01,9.000652067187720817e+00,-1.399354417046133925e+01,4.630971231857877513e+00,0.000000000000000000e+00
7.200000000000005007e-02,3.466086591280612694e-01,-5.542333020377834263e-01,9.122956531064948749e+00,-1.411627403884513754e+01,4.553200478637642767e+00,0.000000000000000000e+00
7.400000000000005185e-02,3.649679710491515183e-01,-5.825702163017943969e-01,9.235346439849458022e+00,-1.421816208121804692e+01,4.482827642469329632e+00,0.000000000000000000e+00
7.600000000000005362e-02,3.835428566732535516e-01,-6.110912647756402416e-01,9.338596602395625723e+00,-1.430052797243699025e+01,4.418646355024514527e+00,0.000000000000000000e+00
7.800000000000005540e-02,4.023157675302236336e-01,-6.397586637907956009e-01,9.433441325393156163e+00,-1.436463962222982182e+01,4.359416105409894548e+00,0.000000000000000000e+00
8.000000000000005718e-02,4.212705777367735660e-01,-6.685371037906038261e-01,9.520567792263721074e+00,-1.441170101729191977e+01,4.303854590474990083e+00,0.000000000000000000e+00
